id,firstname,lastname,faculty,year_of_birth,year_of_admission,idnp
189,Feliza,Stanwood,Chemistry,1995,2021,4837304473087
190,Kaia,Carolin,Mathematics,2002,2014,4751517284333
191,Jere,Warthman,Physics,1997,2015,5450684849382
192,Ginnie,Weaks,Chemistry,2002,2016,3680567301788
193,Margalo,Lane,Physics,1997,2023,2074922319149
194,Rivalee,Ardra,Physics,1995,2023,3696494790561
195,Paulita,Berriman,Physics,2002,2020,5185063235668
196,Lynnea,Ophelia,Informatics,1999,2021,5586636912120
197,Gaylene,Manolo,Mathematics,2004,2021,8179497065986
198,Max,Killigrew,Physics,1998,2019,2471787132734
199,Josephine,Corabella,Chemistry,1995,2017,7395672293038
200,Lulita,Birdella,Mathematics,1996,2017,2467504315782
201,Nananne,Raychel,Mathematics,1996,2014,8664307232922
202,Vinita,Selway,Informatics,2004,2022,2702965929402
203,Jessy,Eno,Physics,1997,2023,8013136111352
204,Ninnetta,Hilbert,Mathematics,1999,2021,2638308880259
205,Chastity,Sherrie,Chemistry,2002,2015,5549713322469
206,Jaclyn,Malvino,Informatics,1998,2016,8350090702127
207,Arlina,Codding,Chemistry,1998,2015,4278788158554
208,Modestia,Sibyls,Informatics,2002,2022,3738820885933
209,Dede,Whittaker,Informatics,1998,2014,2413858156021
210,Alyssa,Glovsky,Mathematics,1997,2023,3848017860357
211,Nannie,Bohlin,Informatics,2001,2014,5721203444898
212,Lacie,Roarke,Chemistry,1996,2016,2005212472029
213,Ileana,Fabiola,Chemistry,1996,2014,2228811215257
214,Priscilla,Chapland,Chemistry,1998,2014,3221368403618
215,Miquela,Rosalba,Chemistry,1995,2017,4427404537697
216,Camile,Sigfrid,Chemistry,1995,2021,5139818024752
217,Brooks,Lutero,Mathematics,1998,2015,2281449611151
218,Marcelline,Bow,Mathematics,1999,2018,4884359594071
219,Konstance,Ephrem,Physics,2000,2021,6154627637692
220,Asia,Kendrick,Mathematics,1995,2017,4120720366791
221,Melisent,Linehan,Chemistry,1995,2016,8723983824344
222,Tiffie,Garrison,Mathematics,1996,2017,4519210759200
223,Nollie,Dulciana,Physics,1995,2015,3361933708943
224,Sadie,Brian,Mathematics,1996,2018,4491338909780
225,Jessamyn,Vorster,Mathematics,1998,2018,8536973245042
226,Darci,Turne,Chemistry,2004,2022,2030899466411
227,Konstance,Vernier,Mathematics,1997,2014,8372679852843
228,Madeleine,Middleton,Informatics,1995,2022,7450344210394
229,Gretal,Levey,Mathematics,1996,2021,7755070993167
230,Leanna,Idelia,Physics,2002,2021,7556582214236
231,Cordi,Geffner,Physics,1996,2017,3747235782157
232,Cassondra,Libna,Mathematics,2002,2022,7403059102340
233,Berta,Concha,Mathematics,1995,2015,2580298847417
234,Carmencita,Chesna,Chemistry,2002,2021,3831057594263
235,Angela,Lindemann,Mathematics,2002,2017,6354299474768
236,Emma,Lilybelle,Mathematics,1997,2018,7844192173933
237,Dorthy,Hubert,Chemistry,1998,2017,2014256207902
238,Tarra,Hailee,Physics,1999,2016,6661511841496
239,Annabela,Emanuel,Mathematics,2004,2021,5369392177907
240,Wilma,Thilda,Physics,2004,2021,2865581644846
241,Madeleine,Kermit,Physics,2001,2015,3148735139991
242,Winny,Krystle,Chemistry,2003,2017,2762809256553
243,Rori,Goth,Mathematics,1995,2021,5612234085342
244,Sarette,Dituri,Physics,1996,2016,7521951805661
245,Marguerite,Hirsch,Chemistry,1997,2014,4893776282776
246,Ira,Montgomery,Mathematics,1997,2019,8617690791906
247,Gwyneth,Stevy,Mathematics,1999,2021,7604931387242
248,Ursulina,Ardeha,Mathematics,1999,2019,4460860467841
249,Karena,Posner,Chemistry,1997,2023,2075592364458
250,Flory,Bakerman,Physics,1997,2018,4103263619974
251,Anestassia,Kristi,Informatics,1997,2014,3449075234861
252,Helena,Horan,Mathematics,2003,2014,8689390601347
253,Paulita,Tippets,Chemistry,2003,2020,7983831647061
254,Merci,Freddi,Informatics,2001,2018,4617550505918
255,Tatiania,Joachim,Mathematics,1996,2020,6939442190709
256,Antonietta,Phyllis,Mathematics,1998,2022,5412414358677
257,Dorice,Allina,Chemistry,2004,2019,2800498359402
258,Codie,Campball,Physics,1999,2020,5616160303038
259,Claudina,Skurnik,Mathematics,1995,2020,7521919180294
260,Paola,Gualtiero,Chemistry,1997,2022,3078182650983
261,Harmonia,Stelle,Physics,2002,2022,8524304781914
262,Lolita,Velick,Physics,1995,2022,7073169738071
263,Josephine,Teddman,Informatics,1999,2015,2151302972077
264,Merrie,Fiann,Physics,1999,2021,8530122122379
265,Berget,Natalia,Chemistry,2000,2020,6918369055739
266,Xylina,Gale,Physics,2003,2021,7946216477949
267,Korrie,Bluh,Informatics,1995,2018,5631212920255
268,Vinita,Roxanna,Physics,1999,2017,4154998640708
269,Theodora,Even,Informatics,1995,2019,8441531310157
270,Georgetta,Bates,Chemistry,2001,2017,7895765081515
271,Di,Hurley,Chemistry,1999,2021,7060463347624
272,Oona,Bluh,Chemistry,2003,2017,4820887259474
273,Kittie,Therine,Physics,2000,2018,5046301037056
274,Lily,Denis,Chemistry,2001,2015,3517214082154
275,Marylou,Myrilla,Mathematics,1995,2015,3818847847763
276,Tani,Earlie,Physics,2001,2019,8061976953753
277,Kirstin,Astra,Informatics,1998,2022,8558439785573
278,Britni,Tybald,Physics,2003,2016,7324398733730
279,Lenna,Tremayne,Chemistry,2004,2022,8993308293910
280,Fred,Morehouse,Informatics,2003,2022,7747850855208
281,Pearline,Shama,Physics,2001,2018,8140522077605
282,Giustina,Naor,Chemistry,1997,2023,2448534672004
283,Dulcinea,Verger,Chemistry,1999,2021,3148464970470
284,Nataline,Therine,Physics,2004,2021,2765915542328
285,Ginnie,Naashom,Informatics,1998,2022,8270198073066
286,Jeanna,Yusuk,Informatics,2000,2021,4311781063512
287,Dode,Maurine,Informatics,2001,2019,8333056187287
288,Wendi,Docilla,Mathematics,1997,2015,4687901483252
289,Cassondra,Lasley,Chemistry,1996,2017,3525543931229
290,Suzette,Sharl,Informatics,2004,2022,2251552947657
291,Kellen,Vernier,Chemistry,2001,2015,3902974947390
292,Kalina,McCutcheon,Mathematics,2004,2017,7873693720410
293,Mary,Jotham,Mathematics,2002,2014,3944820862911
294,Kristan,Kaja,Informatics,2002,2016,6320998501002
295,Xylina,Chandler,Physics,1996,2019,8096072816183
296,Georgetta,Read,Physics,2000,2022,4963626908493
297,Tilly,Berl,Physics,1995,2019,6280579534105
298,Doralynne,Glovsky,Chemistry,2004,2019,2026039875600
299,Donnie,Lasley,Informatics,1998,2015,8728736871372
300,Hyacinthe,Callista,Mathematics,1996,2017,4074229042424
301,Mariele,Garlinda,Chemistry,2004,2014,5869030816270
302,Dagmar,Goldina,Physics,2000,2023,5566293179755
303,Latisha,Gualtiero,Informatics,1998,2020,5622773565831
304,Tierney,Lesley,Mathematics,2001,2020,3568883607577
305,Damaris,Standing,Physics,1997,2022,3016366449442
306,Nananne,Philipp,Mathematics,2003,2019,3382091370565
307,Lorie,Luhe,Physics,2000,2021,6480089697536
308,Cristabel,Neva,Informatics,1996,2021,8505871044391
309,Paule,Guildroy,Physics,1998,2022,5055132314558
310,Nita,Leary,Mathematics,2000,2014,4271227542461
311,Perry,Meli,Physics,2000,2023,5670271727222
312,Lita,Barrus,Informatics,1999,2020,4351414399623
313,Alyssa,Codding,Informatics,1995,2015,4019009394736
314,Alleen,Kesley,Physics,1999,2019,5654919641615
315,Sheree,Bashemeth,Chemistry,2003,2017,8165556181848
316,Tabbatha,Cecile,Mathematics,2000,2016,3111989381798
317,Frieda,Magdalen,Mathematics,1999,2017,3695161578843
318,Inga,Alwin,Chemistry,2004,2016,7373061983225
319,Bernardine,Riordan,Informatics,2002,2020,3585945153408
320,Constance,Cleavland,Chemistry,2003,2023,5147034944426
321,Gertrud,Land,Chemistry,2001,2022,5338563935982
322,Britni,Guthrie,Informatics,1995,2016,5737989230845
323,Candi,Hachmin,Chemistry,1999,2023,4545278362059
324,Corene,Tacye,Chemistry,1995,2015,6372787568923
325,Marika,Longfellow,Informatics,2003,2020,5578226878227
326,Ira,Emmy,Physics,1996,2014,3751897934731
327,Winny,Oscar,Chemistry,2001,2018,5195304814003
328,Beverley,Greyson,Chemistry,2002,2017,5403995253916
329,Lolita,Dowski,Informatics,1999,2017,2073966259596
330,Louella,Narton,Physics,1996,2015,3396291251376
331,Joceline,My,Chemistry,1999,2019,7408446755781
332,Sidoney,Milde,Informatics,1996,2014,4940005942013
333,Queenie,Emmy,Mathematics,1995,2023,3742997868992
334,Raina,Arquit,Informatics,2003,2021,6092307045407
335,Flo,Junie,Mathematics,1999,2016,4971933274326
336,Courtnay,Suk,Physics,1999,2016,5921559103837
337,Emmey,Amadas,Physics,2000,2018,4029550509367
338,Cassandra,Saree,Chemistry,1998,2014,5372416320057
339,Dede,Kermit,Physics,1996,2020,3573718219112
340,Theodora,Blase,Mathematics,2000,2014,3463634662876
341,Tera,Guthrie,Physics,2003,2021,4793002033802
342,Madalyn,Ellord,Physics,1998,2016,8507219993136
343,Vonny,Autrey,Physics,1997,2022,3787932806325
344,Riannon,Posner,Mathematics,1997,2014,6880377826727
345,Maisey,Redmond,Physics,1997,2019,5101608651454
346,Madelle,Guthrie,Mathematics,2000,2021,6501983835232
347,Janey,Jillane,Physics,1996,2017,7190409861602
348,Helena,Shuler,Mathematics,2003,2017,8148048229016
349,Melina,Rocray,Informatics,2002,2015,7446499339002
350,Katharina,Pettiford,Chemistry,1997,2021,2250009034218
351,Lily,Lynn,Physics,1999,2016,7671092332861
352,Amelia,Thornburg,Mathematics,2000,2014,6958006693751
353,Veda,Elbertina,Chemistry,2002,2019,8768545106795
354,Verla,Gregrory,Mathematics,2000,2023,6110570449834
355,Berta,Pauly,Chemistry,2004,2021,5669898609382
356,Goldie,Erb,Mathematics,1998,2016,3524038826112
357,Amalie,Cynar,Mathematics,2001,2020,4035210526023
358,Babita,Chem,Chemistry,2003,2016,5112064632984
359,Dotty,Bashemeth,Mathematics,1999,2014,4796485955070
360,Karolina,Duwalt,Informatics,1996,2016,2714334780535
361,Alex,Fleeta,Chemistry,1998,2021,7945047811415
362,Gabriellia,Bury,Chemistry,2003,2020,4202290214493
363,Odessa,Bandeen,Chemistry,2003,2016,7033287841966
364,Minne,Freddi,Informatics,1996,2015,5295887600162
365,Lily,Ulphia,Mathematics,2001,2022,3734952501302
366,Glynnis,Jefferey,Mathematics,2000,2020,8149568973309
367,Amalie,Frendel,Chemistry,1995,2023,4028296371480
368,Carmela,Lytton,Mathematics,2003,2015,7108580092462
369,Marika,Lytton,Chemistry,1995,2023,5660956187670
370,Sashenka,Morrill,Informatics,2002,2023,5920915597364
371,Kathi,Percy,Physics,1995,2015,6160624853176
372,Cathyleen,Edison,Mathematics,2001,2017,2824759270538
373,Roxane,Felizio,Chemistry,2003,2017,4095876443620
374,Petronia,Anton,Chemistry,1997,2022,7069663927094
375,Sherrie,Richers,Informatics,1998,2014,7056792844735
376,Siana,Prober,Chemistry,2000,2017,2593717498092
377,Tarra,Schroth,Physics,1996,2016,4678219085591
378,Elsie,Valoniah,Informatics,1995,2023,2318505282420
379,Nariko,Bettine,Physics,2000,2023,6416956784022
380,Karly,Bach,Physics,1995,2016,4510976570534
381,Marti,Yoko,Informatics,1997,2018,8379330453976
382,Tamqrah,Baylor,Informatics,2004,2021,2244213093221
383,Jessy,Fabiola,Informatics,1995,2019,5893193282294
384,Georgina,Oscar,Physics,1996,2015,3387381698625
385,Kalina,Izaak,Chemistry,2002,2014,6537729982796
386,Chrystel,Faro,Mathematics,1997,2019,3969257874491
387,Calla,Dulciana,Mathematics,2000,2018,8012572663852
388,Frank,Alfons,Informatics,2004,2022,5480800837635
389,Gabriellia,Sundin,Mathematics,1996,2019,8457439440467
390,Josephine,Erlandson,Mathematics,1999,2014,7850373131280
391,Tatiania,Rese,Chemistry,1995,2022,4339633441420
392,Elie,Schlosser,Physics,2000,2014,5157305208868
393,Hayley,Tatianas,Chemistry,2001,2021,6111107565413
394,Charmaine,Chick,Informatics,1999,2019,2166492427102
395,Netty,Ax,Physics,2004,2016,5367840534719
396,Katleen,Carri,Chemistry,1997,2022,4162652815798
397,Sandie,Gaynor,Mathematics,2002,2015,7431407183007
398,Janeczka,Georgy,Informatics,2000,2020,4511660844078
399,Marnia,Susannah,Informatics,2002,2016,5786523157211
400,Malina,Ball,Chemistry,1999,2023,7111513152060
401,Netty,Giule,Mathematics,2003,2015,7496912540593
402,Norine,Mehalek,Physics,1997,2016,5993660267611
403,Juliane,Khorma,Informatics,2003,2014,3803540605497
404,Hayley,Curren,Physics,1998,2018,2202392889981
405,Libbie,Arquit,Informatics,2003,2019,7127467889470
406,Marika,Kauppi,Physics,1998,2019,5676868462689
407,Atlanta,Goode,Chemistry,1997,2014,6088845974690
408,Doro,Lytton,Mathematics,1995,2018,3765971858763
409,Alejandra,Tiffa,Informatics,2001,2023,5315476491451
410,Lynnea,Lipson,Physics,2004,2017,5991892237278
411,Jasmina,Gaal,Physics,1997,2022,4315296481929
412,Annaliese,Granoff,Chemistry,2002,2023,6008462765950
413,Tersina,Imelida,Chemistry,1999,2015,2852734331821
414,Leanna,Redmond,Mathematics,2004,2023,2085448407420
415,Sadie,Bendick,Mathematics,1995,2018,2353259489607
416,Kaja,Dearborn,Mathematics,1999,2022,3680251752790
417,Alameda,Pillsbury,Chemistry,2004,2015,3016834022802
418,Tobe,Gower,Physics,1997,2023,4911248744078
419,Hyacinthe,Koziara,Physics,2003,2018,5301199420831
420,Veda,Annice,Informatics,2004,2016,7035395638794
421,Cathyleen,Tound,Chemistry,2002,2017,4340611576797
422,Jany,Judye,Mathematics,1995,2020,7850654960178
423,Mathilda,Sothena,Mathematics,2000,2023,2499841623687
424,Nerta,Christine,Chemistry,1997,2019,5534203267890
425,Sibella,Thilda,Informatics,2001,2020,4768729441528
426,Melina,Adalbert,Informatics,1999,2014,4982286311729
427,Ingrid,Hanshaw,Informatics,1995,2021,3431627836966
428,Alisha,Sholley,Mathematics,2004,2019,8299305213865
429,Darci,Bettine,Mathematics,1998,2016,2037576857191
430,Minda,Love,Mathematics,1995,2019,3948623353295
431,Jillayne,Milde,Informatics,1995,2015,3796346469594
432,Dorene,Goth,Informatics,1998,2017,3326984815814
433,Kristan,Podvin,Mathematics,1997,2014,2673299080192
434,Goldie,Markman,Chemistry,1999,2017,4766830239329
435,Veda,Blase,Physics,1997,2022,2710221959373
436,Kylynn,Lattie,Mathematics,1997,2016,6357368522705
437,Marcy,Plato,Chemistry,1997,2019,8652623248720
438,Christy,Nunci,Physics,2000,2016,2411892499034
439,Dotty,Mullane,Informatics,2001,2021,7814411079634
440,Elbertina,Cottle,Mathematics,1997,2016,6756849243083
441,Elyssa,Bevin,Mathematics,2004,2015,3069584721170
442,Jorry,Jobi,Chemistry,2003,2020,5970678260891
443,Blinni,Lory,Chemistry,1998,2023,6194333510615
444,Jessamyn,Allare,Physics,2003,2022,6300364321900
445,Nannie,Chabot,Informatics,1995,2018,3447476638134
446,Britni,Tomasina,Informatics,2002,2020,5244372058778
447,Jenilee,Olympium,Mathematics,2001,2014,2255859990721
448,Fanchon,Merna,Physics,1999,2020,4583473283651
449,Stacey,Carleen,Chemistry,1997,2016,6788707157225
450,Codie,Bonilla,Chemistry,1996,2023,4963293505435
451,Drucie,Standing,Informatics,1999,2019,6560503473797
452,Cacilie,Katrine,Mathematics,1999,2019,5074591856727
453,Ethel,Ramona,Physics,1995,2021,2128491558892
454,Jenilee,Jess,Mathematics,2002,2020,6864108201933
455,Annice,Poppy,Mathematics,2001,2018,3849466153166
456,Tina,Chapland,Chemistry,2004,2020,2678277600379
457,Alleen,Nicoline,Chemistry,1996,2021,8506505826603
458,Dede,Ehrman,Informatics,1999,2022,7738527019500
459,Gisela,Casimir,Informatics,1996,2017,2333986515474
460,Tamqrah,Stevy,Physics,1996,2015,3271576284537
461,Corene,Joeann,Informatics,2004,2020,6765191672095
462,Meghann,Brandice,Chemistry,1998,2014,6112768353311
463,Karly,Tyson,Mathematics,2000,2014,4494328413771
464,Gabi,Sancho,Informatics,2004,2022,6294005751807
465,Vita,Albertine,Mathematics,1995,2015,7143250002312
466,Lita,Chabot,Mathematics,2001,2017,3992890660134
467,Marcelline,Garlinda,Mathematics,2001,2015,5534069718027
468,Codie,Pip,Informatics,2002,2014,6882677165462
469,Penelopa,Zola,Informatics,2000,2015,6081186582057
470,Lolita,Kylander,Chemistry,1999,2018,6616090853768
471,Caressa,Barney,Informatics,2001,2020,3209194161033
472,Beverley,Stefa,Mathematics,1998,2022,6207867623632
473,Vanessa,Mozelle,Informatics,2000,2022,4551373576007
474,Kore,Autrey,Physics,2000,2020,3811684870013
475,Gilda,Bohlin,Chemistry,2001,2014,4922475832470
